;0;1
0;RL;"[ 0.53070175  0.54824561  0.50769231  0.52527473  0.54505495  0.51648352
  0.51648352  0.54625551  0.53524229  0.52317881  0.52850877  0.55482456
  0.53846154  0.52087912  0.52747253  0.50989011  0.53626374  0.53303965
  0.5154185   0.51214128  0.53289474  0.52631579  0.54945055  0.53406593
  0.54945055  0.52307692  0.50989011  0.51982379  0.49118943  0.53642384
  0.52631579  0.49780702  0.51208791  0.50769231  0.54505495  0.52747253
  0.54065934  0.53964758  0.5154185   0.53863135]"
1;ADL;"[ 0.52192982  0.54166667  0.5010989   0.50769231  0.53626374  0.51648352
  0.51428571  0.53303965  0.52422907  0.5187638   0.53070175  0.54385965
  0.53846154  0.52307692  0.52087912  0.51428571  0.52747253  0.53524229
  0.52202643  0.50110375  0.51973684  0.51315789  0.54505495  0.52087912
  0.54945055  0.52307692  0.51208791  0.5154185   0.49779736  0.54083885
  0.53070175  0.50438596  0.50769231  0.51428571  0.54285714  0.54065934
  0.53186813  0.54405286  0.50881057  0.5209713 ]"
2;ADQ;"[ 0.48245614  0.49342105  0.41978022  0.32307692  0.42857143  0.45054945
  0.48131868  0.44933921  0.44493392  0.44370861  0.44078947  0.45833333
  0.45934066  0.46593407  0.41758242  0.31648352  0.45714286  0.47356828
  0.39427313  0.45033113  0.45614035  0.45394737  0.41758242  0.42637363
  0.41098901  0.32307692  0.44395604  0.44493392  0.44052863  0.45695364
  0.46491228  0.44078947  0.44835165  0.32307692  0.42637363  0.44615385
  0.49230769  0.45814978  0.46035242  0.45474614]"
3;KNN;"[ 0.44298246  0.48026316  0.42637363  0.44835165  0.45714286  0.42417582
  0.41758242  0.4339207   0.47136564  0.43708609  0.42982456  0.4627193
  0.41318681  0.43076923  0.44175824  0.43076923  0.43956044  0.469163
  0.39427313  0.48565121  0.42982456  0.40570175  0.45494505  0.44835165
  0.45274725  0.45494505  0.41758242  0.44052863  0.43832599  0.45916115
  0.46929825  0.4254386   0.44615385  0.45054945  0.46373626  0.47252747
  0.44395604  0.44933921  0.43612335  0.43708609]"
4;NBG;"[ 0.48245614  0.51973684  0.49450549  0.48791209  0.48351648  0.50549451
  0.48571429  0.51321586  0.47797357  0.47682119  0.48464912  0.51973684
  0.49230769  0.49010989  0.47472527  0.47912088  0.51648352  0.50660793
  0.47356828  0.4790287   0.46929825  0.49342105  0.46373626  0.4989011
  0.5032967   0.50549451  0.48791209  0.49118943  0.49339207  0.51214128
  0.48026316  0.46052632  0.50769231  0.45274725  0.51428571  0.5032967
  0.51208791  0.52202643  0.49339207  0.4790287 ]"
5;NBM;"[ 0.50438596  0.5         0.4989011   0.51648352  0.51648352  0.51428571
  0.47472527  0.5154185   0.5         0.5187638   0.49342105  0.52412281
  0.52527473  0.49450549  0.51208791  0.49010989  0.52307692  0.5154185
  0.4845815   0.50110375  0.5         0.49780702  0.51648352  0.52747253
  0.4989011   0.51868132  0.51208791  0.50440529  0.47577093  0.51655629
  0.52192982  0.44517544  0.52967033  0.4967033   0.54505495  0.51428571
  0.50989011  0.5154185   0.47797357  0.51655629]"
6;SVML;"[ 0.51973684  0.53070175  0.5010989   0.51648352  0.52747253  0.53406593
  0.4967033   0.54185022  0.53303965  0.5209713   0.52192982  0.54605263
  0.54505495  0.50989011  0.53186813  0.51648352  0.52967033  0.55286344
  0.52422907  0.50551876  0.52192982  0.52631579  0.55384615  0.52307692
  0.52967033  0.52747253  0.49010989  0.51762115  0.49339207  0.53421634
  0.53070175  0.49561404  0.50989011  0.51428571  0.55164835  0.53186813
  0.52967033  0.54185022  0.51101322  0.51214128]"
7;SVMR;"[ 0.44298246  0.45614035  0.48131868  0.46813187  0.46153846  0.45054945
  0.45934066  0.44713656  0.45594714  0.46357616  0.44517544  0.46491228
  0.46153846  0.46593407  0.45934066  0.44395604  0.46153846  0.46696035
  0.44933921  0.46578366  0.45614035  0.46052632  0.44615385  0.45054945
  0.43516484  0.48131868  0.45054945  0.45814978  0.47136564  0.46136865
  0.45833333  0.45614035  0.47252747  0.46153846  0.45714286  0.46593407
  0.45054945  0.46035242  0.46035242  0.46357616]"
8;RF;"[ 0.45833333  0.48245614  0.45274725  0.44835165  0.44615385  0.44395604
  0.46153846  0.47577093  0.47356828  0.44812362  0.46491228  0.48464912
  0.45714286  0.47692308  0.43296703  0.46373626  0.46813187  0.46475771
  0.48017621  0.46136865  0.52412281  0.46929825  0.46153846  0.41538462
  0.42857143  0.46373626  0.45714286  0.46696035  0.47577093  0.47019868
  0.43640351  0.44517544  0.45274725  0.45934066  0.48351648  0.45494505
  0.48571429  0.46035242  0.44273128  0.44591611]"
9;ET;"[ 0.48684211  0.51535088  0.47692308  0.47252747  0.45494505  0.45714286
  0.46153846  0.48237885  0.48017621  0.45916115  0.45175439  0.49122807
  0.45934066  0.47032967  0.43956044  0.46153846  0.47912088  0.47136564
  0.45594714  0.4415011   0.41885965  0.46929825  0.47032967  0.43736264
  0.50989011  0.46813187  0.45274725  0.45814978  0.44713656  0.46136865
  0.5         0.42324561  0.45494505  0.46593407  0.45494505  0.43956044
  0.45934066  0.469163    0.44273128  0.44591611]"
