;0;1
0;RL;"[ 0.35905376  0.3967122   0.40221414  0.40028302  0.35812571  0.39125187
  0.42260012  0.38858892  0.35846154  0.38564103  0.36354771  0.39451922
  0.36556496  0.37497394  0.39949675  0.37983292  0.40757492  0.39716276
  0.39883688  0.37225297  0.36493649  0.4100317   0.37461118  0.4105843
  0.38616211  0.40812791  0.40259261  0.34002041  0.40294079  0.36817486
  0.40548413  0.40306442  0.40310078  0.37232226  0.40987472  0.38771743
  0.36504744  0.35070247  0.34972678  0.39078965]"
1;ADL;"[ 0.38820572  0.41262859  0.40223662  0.41349423  0.3707235   0.40481607
  0.40937136  0.38486789  0.37094017  0.41724582  0.37269657  0.40158779
  0.39877584  0.40870521  0.40877732  0.39166321  0.40970618  0.40253549
  0.37676915  0.38086865  0.38322545  0.41042456  0.39046988  0.4452962
  0.38659492  0.42075729  0.42098266  0.34046491  0.40705446  0.36034531
  0.42070254  0.41595666  0.42817982  0.39494547  0.41793563  0.39462686
  0.36967958  0.37289525  0.35953488  0.40633885]"
2;ADQ;"[ 0.39875895  0.39283641  0.42610964  0.42978352  0.41666793  0.40941003
  0.42122544  0.43046954  0.41046962  0.44894456  0.42012605  0.4012149
  0.38118527  0.4062354   0.4457104   0.38545594  0.41843181  0.41827191
  0.39361255  0.44033753  0.43978697  0.41828857  0.41746585  0.40587838
  0.38087359  0.43766416  0.37450892  0.45271172  0.42116673  0.39602111
  0.42138758  0.435123    0.44925108  0.37659974  0.44512282  0.35681331
  0.40025336  0.35744153  0.41664438  0.44154422]"
3;KNN;"[ 0.39418758  0.40171789  0.4490867   0.40671092  0.34595827  0.33398695
  0.42861932  0.40066303  0.43138245  0.42210874  0.38896104  0.41699792
  0.38440379  0.37926136  0.39253026  0.37504222  0.43844705  0.40748579
  0.36693368  0.36920763  0.37344023  0.44563323  0.42400812  0.42364885
  0.3693685   0.41341346  0.4021521   0.33525628  0.41936202  0.36613075
  0.41740888  0.45962846  0.42238397  0.36707629  0.42775385  0.4049596
  0.38690734  0.33851515  0.41166881  0.37166147]"
4;NBG;"[ 0.40502704  0.42489548  0.45247317  0.4288087   0.37055959  0.39247666
  0.43587321  0.4216531   0.41201091  0.40712401  0.41470309  0.42728123
  0.37281988  0.45305983  0.49745423  0.38619095  0.41725203  0.38415259
  0.41577146  0.38650193  0.3899295   0.40477685  0.40481692  0.42245819
  0.39920633  0.44180489  0.44733672  0.45288205  0.42598438  0.37758156
  0.42300632  0.44568164  0.4486613   0.36489899  0.44027953  0.4249673
  0.38625085  0.40235702  0.38018291  0.49478812]"
5;NBM;"[ 0.36994109  0.46831783  0.45592011  0.46008382  0.37983309  0.43643672
  0.41924527  0.44858439  0.42949181  0.3858603   0.41883282  0.39926479
  0.43820639  0.4252262   0.49716011  0.40486494  0.4674111   0.40759387
  0.41119113  0.39612587  0.4358438   0.40275753  0.42979083  0.45941899
  0.38339395  0.45619074  0.41654705  0.39271225  0.42736338  0.45781284
  0.42486619  0.44405553  0.43431203  0.39764059  0.42350021  0.40764693
  0.40387739  0.44819766  0.40332446  0.47081513]"
6;SVML;"[ 0.37108524  0.40011147  0.40548413  0.39984769  0.3626679   0.38878074
  0.43030216  0.38895166  0.3608502   0.38147446  0.36561668  0.40462379
  0.392242    0.38504089  0.43725372  0.37897873  0.40583088  0.39028122
  0.37117801  0.36663572  0.36667779  0.39655317  0.36801619  0.4030784
  0.38345758  0.43452089  0.39082868  0.34544047  0.40846706  0.37912684
  0.40681511  0.40311055  0.40571305  0.37687241  0.40343677  0.38632479
  0.35711079  0.35690236  0.35686438  0.38316722]"
7;SVMR;"[ 0.26504897  0.25595883  0.24147124  0.22335218  0.25592741  0.23050842
  0.23266537  0.25024972  0.22406516  0.25613414  0.24451667  0.2365793
  0.23167933  0.24941725  0.22420449  0.23278565  0.28590731  0.21886737
  0.26281599  0.22582985  0.21296296  0.25246631  0.24385057  0.23850899
  0.23663835  0.26356172  0.21288515  0.2556543   0.24506953  0.27117374
  0.24254653  0.25215417  0.21169916  0.23022725  0.24219299  0.24559851
  0.23266537  0.25535017  0.26249644  0.23293204]"
8;RF;"[ 0.38526256  0.50276002  0.39561704  0.42255618  0.40208906  0.42427594
  0.44061906  0.40413266  0.4234593   0.42628978  0.39280664  0.39024484
  0.41117255  0.38675169  0.4620948   0.38559529  0.3997028   0.40584509
  0.3995145   0.39653383  0.38532331  0.37889812  0.37444581  0.41634182
  0.40795438  0.41839716  0.44946237  0.40036729  0.4685041   0.41340594
  0.43892643  0.41286493  0.42924757  0.36324136  0.40863702  0.37179331
  0.39448802  0.35850867  0.4064215   0.45626051]"
9;ET;"[ 0.39944794  0.40712094  0.40931968  0.4016795   0.33473337  0.39849364
  0.43296574  0.41272993  0.36090057  0.3859536   0.37685752  0.39582716
  0.38892745  0.37779434  0.40906419  0.40258053  0.39313063  0.35588044
  0.41476441  0.37809275  0.39115684  0.36789089  0.38726974  0.42496968
  0.37175661  0.42642976  0.47002442  0.37305178  0.4371704   0.39651632
  0.37183425  0.36728188  0.4428004   0.39867344  0.47382715  0.42133747
  0.38427748  0.3562838   0.38958995  0.44339041]"
