;Class1;Class2;p
0;RL;RL;0.9998353061490238
0;RL;ADL;0.4296211426211882
0;RL;ADQ;6.762787174109711e-06
0;RL;KNN;0.02458107511044694
0;RL;NBG;0.09127955551702388
0;RL;NBM;3.091632150218004e-08
0;RL;SVML;0.13508288211638228
0;RL;SVMR;0.08131525870798055
0;RL;RF;0.23349410765674594
0;RL;ET;0.12532938983184286
0;RL;ENS;0.6767283793884695
0;ADL;RL;0.4296211426211882
0;ADL;ADL;0.999830942276506
0;ADL;ADQ;4.4389471373073656e-05
0;ADL;KNN;0.14632770517250676
0;ADL;NBG;0.018504252778083985
0;ADL;NBM;1.867260450120087e-06
0;ADL;SVML;0.48582784926444933
0;ADL;SVMR;0.34401212360297106
0;ADL;RF;0.6620504489570238
0;ADL;ET;0.425149417593066
0;ADL;ENS;0.7062316185617266
0;ADQ;RL;6.762787174109711e-06
0;ADQ;ADL;4.4389471373073656e-05
0;ADQ;ADQ;0.999859268497083
0;ADQ;KNN;0.000733950327953514
0;ADQ;NBG;5.162833511874172e-07
0;ADQ;NBM;0.06407107026692214
0;ADQ;SVML;0.00017441966526815175
0;ADQ;SVMR;0.0002857018869212799
0;ADQ;RF;0.000189825482572234
0;ADQ;ET;0.0005129712552620103
0;ADQ;ENS;1.7520577580791234e-05
0;KNN;RL;0.02458107511044694
0;KNN;ADL;0.14632770517250676
0;KNN;ADQ;0.000733950327953514
0;KNN;KNN;0.9998181034497454
0;KNN;NBG;0.00035161249980583957
0;KNN;NBM;0.0006632992169066172
0;KNN;SVML;0.4438556919758341
0;KNN;SVMR;0.6077093609076248
0;KNN;RF;0.3478421429940316
0;KNN;ET;0.5912846809669074
0;KNN;ENS;0.06561111958760558
0;NBG;RL;0.09127955551702388
0;NBG;ADL;0.018504252778083985
0;NBG;ADQ;5.162833511874172e-07
0;NBG;KNN;0.00035161249980583957
0;NBG;NBG;0.9998538673606648
0;NBG;NBM;6.543647725990558e-10
0;NBG;SVML;0.0031352732213874293
0;NBG;SVMR;0.0015796339351130074
0;NBG;RF;0.008276563731944839
0;NBG;ET;0.0037226192812340247
0;NBG;ENS;0.04055829114741279
0;NBM;RL;3.091632150218004e-08
0;NBM;ADL;1.867260450120087e-06
0;NBM;ADQ;0.06407107026692214
0;NBM;KNN;0.0006632992169066172
0;NBM;NBG;6.543647725990558e-10
0;NBM;NBM;0.9997748326693637
0;NBM;SVML;3.305599772974695e-05
0;NBM;SVMR;9.393318607063347e-05
0;NBM;RF;4.942643863210987e-05
0;NBM;ET;0.00037334968179814076
0;NBM;ENS;2.36920915369104e-07
0;SVML;RL;0.13508288211638228
0;SVML;ADL;0.48582784926444933
0;SVML;ADQ;0.00017441966526815175
0;SVML;KNN;0.4438556919758341
0;SVML;NBG;0.0031352732213874293
0;SVML;NBM;3.305599772974695e-05
0;SVML;SVML;0.9998242225657406
0;SVML;SVMR;0.8008335897974378
0;SVML;RF;0.8247205625900282
0;SVML;ET;0.872951134735557
0;SVML;ENS;0.2793689648376756
0;SVMR;RL;0.08131525870798055
0;SVMR;ADL;0.34401212360297106
0;SVMR;ADQ;0.0002857018869212799
0;SVMR;KNN;0.6077093609076248
0;SVMR;NBG;0.0015796339351130074
0;SVMR;NBM;9.393318607063347e-05
0;SVMR;SVML;0.8008335897974378
0;SVMR;SVMR;0.9998223123694943
0;SVMR;RF;0.6466971771252663
0;SVMR;ET;0.9441624029872062
0;SVMR;ENS;0.18276653513343522
0;RF;RL;0.23349410765674594
0;RF;ADL;0.6620504489570238
0;RF;ADQ;0.000189825482572234
0;RF;KNN;0.3478421429940316
0;RF;NBG;0.008276563731944839
0;RF;NBM;4.942643863210987e-05
0;RF;SVML;0.8247205625900282
0;RF;SVMR;0.6466971771252663
0;RF;RF;0.9998360702573682
0;RF;ET;0.7226270244176003
0;RF;ENS;0.4242428226280548
0;ET;RL;0.12532938983184286
0;ET;ADL;0.425149417593066
0;ET;ADQ;0.0005129712552620103
0;ET;KNN;0.5912846809669074
0;ET;NBG;0.0037226192812340247
0;ET;NBM;0.00037334968179814076
0;ET;SVML;0.872951134735557
0;ET;SVMR;0.9441624029872062
0;ET;RF;0.7226270244176003
0;ET;ET;0.9998379946232047
0;ET;ENS;0.24928936616271002
0;ENS;RL;0.6767283793884695
0;ENS;ADL;0.7062316185617266
0;ENS;ADQ;1.7520577580791234e-05
0;ENS;KNN;0.06561111958760558
0;ENS;NBG;0.04055829114741279
0;ENS;NBM;2.36920915369104e-07
0;ENS;SVML;0.2793689648376756
0;ENS;SVMR;0.18276653513343522
0;ENS;RF;0.4242428226280548
0;ENS;ET;0.24928936616271002
0;ENS;ENS;0.9998322592582022
